网格名字,顶点数,面数,子网格数,网格压缩,Read/Write
CH_Barbarian01_E_Tall4,2860,3489,1,Off,True,res_bundle/prefab/model/character/ch_barbarian01_e_tall4.ab
CH_NiuMo01_E_HStrong1,1015,1254,1,Off,True,res_bundle/prefab/model/character/ch_niumo01_e_hstrong1.ab
CH_ThunderReaper01_W_HFat1,1271,1526,1,Off,True,res_bundle/prefab/model/character/ch_thunderreaper01_w_hfat1.ab
CH_WindElite01_W_Elite1,4732,6222,1,Off,True,res_bundle/prefab/model/character/ch_windelite01_w_elite1.ab
Mod_zhaoyun_peerless_banyuan,297,512,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_peerless.ab
Sphere001,260,256,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_05.ab
WP01_Barbarian01_E_Tall4,209,198,1,Off,True,res_bundle/prefab/model/character/ch_barbarian01_e_tall4.ab
WP02_Barbarian01_E_Tall4,53,58,1,Off,True,res_bundle/prefab/model/character/ch_barbarian01_e_tall4.ab
WP_NiuMo01_E_HStrong1,62,80,1,Off,True,res_bundle/prefab/model/character/ch_niumo01_e_hstrong1.ab
WP_ThunderReaper01L_W_HFat002,59,94,1,Off,True,res_bundle/prefab/model/character/ch_thunderreaper01_w_hfat1.ab
WP_ThunderReaper01R_W_HFat1,59,94,1,Off,True,res_bundle/prefab/model/character/ch_thunderreaper01_w_hfat1.ab
body,11415,16735,2,Off,True,res_bundle/prefab/model/character/npc_zhaoyun_001_01.ab
body,5252,6866,1,Off,True,raw/model/zhaoyun/h_zhaoyun_01_low.ab
eff_H_ZhaoYun_01_attack_03,148,144,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_attack_03.ab
eff_H_ZhaoYun_01_attack_04,100,96,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_attack_04.ab
eff_H_ZhaoYun_01_attack_06,68,64,1,Off,True,raw/effects/heroeffects/zhaoyun/mod/eff_h_zhaoyun_attack_06.ab
eff_H_ZhaoYun_01_skill_01_1,76,72,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_01.ab
eff_H_ZhaoYun_01_skill_01_2,76,72,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_01.ab
eff_H_ZhaoYun_01_skill_01_3,76,72,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_01.ab
eff_H_ZhaoYun_01_skill_01_4,68,64,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_01.ab
eff_H_ZhaoYun_01_skill_02_qiangtou,386,422,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_02.ab
eff_H_ZhaoYun_01_skill_03,34,32,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_03.ab
eff_H_ZhaoYun_01_skill_04_01,68,64,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_04.ab
eff_H_ZhaoYun_01_skill_04_02,68,64,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_04.ab
eff_H_ZhaoYun_01_skill_05_1,57,65,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_skill_05_g.ab
eff_H_ZhaoYun_attack_01,64,60,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_attack_01.ab
eff_H_ZhaoYun_attack_02,68,64,1,Off,True,res_bundle/prefab/vfx/skill/eff_h_zhaoyun_01_attack_02.ab
weapon01,517,540,1,Off,True,res_bundle/prefab/model/character/npc_zhaoyun_001_01.ab
weapon01,517,540,1,Off,True,raw/model/zhaoyun/h_zhaoyun_01_low.ab
