资源名称,内存大小,内建资源,资源类型,被引用的个数,对应的AB包名称
000,1720420,False,mesh,1,p_map_main_laboratory_night
000,1714316,False,mesh,1,p_map_main_laboratory
001,95568,False,mesh,1,p_map_main_laboratory
002,676168,False,mesh,1,p_map_main_laboratory
002,706179,False,mesh,1,p_map_main_laboratory_night
003,6096,False,mesh,1,p_map_main_laboratory
003,65704,False,mesh,1,p_map_main_laboratory_night
004,3372,False,mesh,1,p_map_main_laboratory
004,1956,False,mesh,1,p_map_main_landingfield
004,21864,False,mesh,1,p_map_main_laboratory_night
005,352028,False,mesh,1,p_map_main_laboratory
005,352268,False,mesh,1,p_map_main_laboratory_night
006,393168,False,mesh,1,p_map_main_laboratory
006,503576,False,mesh,1,p_map_main_laboratory_night
008,561824,False,mesh,1,p_map_main_laboratory
008,565616,False,mesh,1,p_map_main_laboratory_night
009,123196,False,mesh,1,p_map_main_laboratory_night
1,1956,False,mesh,1,p_map_main_landingfield
1,12156,False,mesh,1,p_map_main_equipmentevolution
1,2796,False,mesh,3,eff_ui_main_demo_stance01_off,eff_ui_main_demo_stance_on,embattleposeffect
100,3775788,False,mesh,1,p_map_main_pool
101,82956,False,mesh,1,p_map_main_pool
102,24996,False,mesh,1,p_map_main_pool
103,24784,False,mesh,1,p_map_main_pool
104,11448,False,mesh,1,p_map_main_pool
105,62167,False,mesh,1,p_map_main_pool
108,1988,False,mesh,1,p_map_main_pool
2,1956,False,mesh,1,p_map_main_landingfield
2,1956,False,mesh,2,p_map_main_demo_ribbon01,p_map_main_fightingarena
3,1956,False,mesh,1,p_map_main_landingfield
Alpha,144572,False,mesh,1,p_map_main_chinatown
Alpha,19484,False,mesh,1,p_map_main_bar
Ayane_Hands,1701203,False,mesh,1,i_ayanehands_01
Ayane_Hands,240531,False,mesh,1,i_ayanekuwu_01
BOSS_Lighting,4068,False,mesh,1,p_map_main_conference
Blue,6564,False,mesh,1,p_map_main_coastalvillage
Bluer,6108,False,mesh,2,p_map_main_pool_bluer,p_map_main_pool_null
Box001,3180,False,mesh,1,eff_kai_02
Box001,3996,False,mesh,3,eff_alpha_152_minskill,eff_alpha_152_pose,eff_alpha_152_uniqueskills
Box001,8172,False,mesh,2,eff_addren_01,kong
Box006,197939,False,mesh,1,s_map_main_poolinterface_swing
Box01,174455,False,mesh,1,eff_momiji_uniqueskills_dlc_01
Box01,213684,False,mesh,1,p_map_main_dartactivities
Box04,7596,False,mesh,1,p_map_main_ship
BradWong,20568,False,mesh,2,eff_bradwong_minskill,eff_bradwong_uniqueskills
BradWong,402663,False,mesh,1,eff_bradwong_pose
Car,754024,False,mesh,1,p_map_main_towerbridge
Chest01,30047,False,mesh,3,kaidong_01,star_xiang_01,xiang1
Church,3708227,False,mesh,1,p_map_main_russia_maininterface
Cloud,4532,False,mesh,1,p_map_main_landingfield
Cone001,11308,False,mesh,3,eff_alpha_152_uniqueskills,eff_honoka_uniqueskills,eff_honoka_uniqueskills_dlc01
Cone001,16852,False,mesh,1,levelbox
Cone001,6356,False,mesh,2,eff_honoka_uniqueskills,eff_honoka_uniqueskills_dlc01
Cone001,2412,False,mesh,1,eff_kai_02
Cy02_lvxi,32812,False,mesh,3,eff_ein_minskill,eff_ein_uniqueskills,eff_marierose_uniqueskills
Cylinder001,219823,False,mesh,1,p_map_main_landingfield
Cylinder001,2172,False,mesh,2,eff_ui_uiteamflairpopup2prefab_shengji,uiteamflairpopup2prefab
Cylinder001,5892,False,mesh,2,eff_ui_uiwustudynew_juese_one_cn,eff_ui_uiwustudynew_juese_ten_cn
Cylinder001,15564,False,mesh,3,eff_ui_zhangjie_clearance_02,m_machine_01,p_gold_transcript_01
Cylinder001,5892,False,mesh,1,eff_ui_ty_gezixuanzhong
Cylinder001,7212,False,mesh,1,eff_ryuhayabusa_uniqueskills
Cylinder001,5148,False,mesh,1,eff_ycpd_fangkuai_shuihua
Cylinder001,13156,False,mesh,3,eff_bass_pose,eff_helenab_01_uniqueskills,eff_momiji_uniqueskills_dlc_01
Cylinder001,10236,False,mesh,1,eff_ryuhayabusa_uniqueskills
Cylinder001,12636,False,mesh,6,eff_ninjia_jumpwater01,eff_ninjia_jumpwater02,eff_pool_water,eff_ycpd_juese_luoshui,eff_ycpd_juese_luoshui_2,p_map_main_cabin
Cylinder001,5124,False,mesh,2,m_machine_01,p_gold_transcript_01
Cylinder001,12636,False,mesh,6,eff_ninjia_jumpwater01,eff_ninjia_jumpwater02,eff_pool_water,eff_ycpd_juese_luoshui,eff_ycpd_juese_luoshui_2,p_map_main_cabin
Cylinder001,5628,False,mesh,2,eff_map_fangshe,p_map_main_landingfield
Cylinder001,12636,False,mesh,4,eff_pool_water,eff_ycpd_juese_luoshui,eff_ycpd_juese_luoshui_2,p_map_main_cabin
Cylinder001,7788,False,mesh,2,eff_hayate_pose,eff_hayateb_pose
Cylinder003,8424,False,mesh,1,p_map_main_bar
Cylinder004,86371,False,mesh,1,eff_nyotengu_uniqueskills
Cylinder01,5000,False,mesh,1,p_map_main_dwa
DOOR_01,5872,False,mesh,1,p_main_map_dailyhigher_pata01
DOOR_02,5872,False,mesh,1,p_main_map_dailyhigher_pata01
DamageNumMesh,7532,False,mesh,1,damagenum
Diamond,18636,False,mesh,3,diamond,eff_ycpd_fangkuai_zuanshi,s_diamond
Eaves,12996,False,mesh,1,p_map_main_ninjia
Exp_machine_01,1315500,False,mesh,1,m_machine_01
Fan,73756,False,mesh,1,p_map_main_bar
Fan,73756,False,mesh,1,p_map_main_bar
Fence,515988,False,mesh,1,p_map_main_ninjia
Finger,2364,False,mesh,1,p_map_main_coastalvillage
Fire01_Plane,4852,False,mesh,1,p_map_main_dwa
GeoSphere001,67404,False,mesh,1,eff_shield
GeoSphere001,14700,False,mesh,3,eff_buff_gedang,eff_hitomi_pose,eff_uidailytrainingprefab_hit2
GeoSphere001,10212,False,mesh,2,eff_buff_leader_fangyu,eff_powerdefense
GeoSphere001,13972,False,mesh,3,eff_alpha_152_uniqueskills,eff_buff_gedang,eff_uidailytrainingprefab_hit2
GeoSphere002,16596,False,mesh,1,eff_powerdefense
Grass,5444,False,mesh,1,p_map_main_russia_maininterface
Grass,38168,False,mesh,1,p_map_main_mountaintemple
Green,6108,False,mesh,1,p_map_main_pool_green
Ground,4956,False,mesh,1,p_map_main_russia_maininterface
Ground,98407,False,mesh,1,p_map_main_chinatown
Ground01,882684,False,mesh,1,p_map_main_cliff
Ground01,28140,False,mesh,1,p_map_main_ninjia
Ground01,20820,False,mesh,1,p_map_main_castle
Ground02,7540,False,mesh,1,p_map_main_castle
Ground02,2052,False,mesh,1,p_map_main_ninjia
Ground03,390468,False,mesh,1,p_map_main_castle
Ground03,3708,False,mesh,1,p_map_main_ninjia
Ground04,3420,False,mesh,1,p_map_main_ninjia
Ground05,6804,False,mesh,1,p_map_main_ninjia
Helix001,8220,False,mesh,2,eff_janlee_uniqueskills,eff_kasumib_victory
Helix001,7140,False,mesh,7,eff_helena_pose,eff_helena_pose_dlc_02,eff_nyotengu_uniqueskills,eff_tina_pose,eff_tina_uniqueskills,eff_zack_minskill,eff_zack_uniqueskills
Helix001,12540,False,mesh,2,eff_helena_pose,eff_helena_pose_dlc_02
Helix001,12108,False,mesh,9,eff_ayane_minskill,eff_genfu_minskill,eff_genfu_uniqueskills,eff_helenab_01_pose,eff_mariposab_01_pose,eff_mariposab_01_uniqueskills,eff_ryuhayabusa_uniqueskills,eff_tina_uniqueskills,eff_zack_uniqueskills
Helix001,11028,False,mesh,7,eff_ayane_minskill,eff_ayane_pose,eff_genfu_uniqueskills,eff_helena_uniqueskills,eff_helena_uniqueskills_dlc_02,eff_phase4_pose,eff_rachel_pose
Helix001,8220,False,mesh,2,eff_raidou_uniqueskills,eff_raidou_uniqueskills_dlc_01
Helix001,11460,False,mesh,6,eff_buff_leader_fangyu,eff_buff_leader_gongji,eff_janlee_pose,eff_janlee_uniqueskills,eff_jiying_4,eff_phase4_pose
Hero_ShadowPlane,1956,False,mesh,6,p_map_main_demo_arenamaininterface,p_map_main_japaninterface,p_map_main_landingfield,p_map_main_poolinterface,p_map_main_russia_maininterface,uistarstonetask
Hill,46740,False,mesh,1,p_map_main_ninjia
KEEP OUT,7788,False,mesh,2,p_main_map_dailyhigher_pata01,p_main_map_dailyhigher_pata02
KEEP OUT_01,7788,False,mesh,2,p_main_map_dailyhigher_pata01,p_main_map_dailyhigher_pata02
LIGHT,9476,False,mesh,1,p_map_main_demo_arenamaininterface
LIGHT,2184,False,mesh,1,p_map_main_dwa
LOTUS,114612,False,mesh,1,p_map_main_cabin
Light,167604,False,mesh,1,p_map_main_chinatown
Light,10488,False,mesh,1,p_map_main_bar
Light,9476,False,mesh,1,p_map_main_ladder
Light01,4068,False,mesh,1,p_map_main_chinatown
Light02,6588,False,mesh,1,p_map_main_chinatown
Light03,5580,False,mesh,1,p_map_main_chinatown
Light_000,68956,False,mesh,1,p_map_main_laboratory
Light_001,55484,False,mesh,1,p_map_main_laboratory
Light_002,70879,False,mesh,1,p_map_main_laboratory
Light_003,11460,False,mesh,1,p_map_main_laboratory
Light_004,10516,False,mesh,1,p_map_main_laboratory
Light_005,7684,False,mesh,1,p_map_main_laboratory
Loft001,9708,False,mesh,2,eff_helenab_01_minskill,eff_helenab_01_uniqueskills
Loft001,9748,False,mesh,1,eff_uibeachlifesmallgame_kp
Loft001,7620,False,mesh,3,eff_ui_chouka_2,eff_ui_chouka_3,eff_ui_chouka_4
Loft002,9708,False,mesh,2,eff_ryuhayabusa_minskill,eff_ryuhayabusa_uniqueskills
Loft002,6876,False,mesh,2,eff_ryuhayabusa_uniqueskills,eff_tina_uniqueskills
Loft002,8924,False,mesh,1,eff_mariposab_01_minskill
Loft004,12972,False,mesh,1,eff_mariposab_01_minskill
M012,221344,False,mesh,1,p_map_main_arena
M012,221427,False,mesh,1,p_map_main_arena
Map_Main_Mountain_1,41768,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_2,775800,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_3,168020,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_4,434872,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_4_4,4572,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_5,558160,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_6,3774916,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_8,642600,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_9_01,9892,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_9_1,10988,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_9_2,20248,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_9_3,835028,False,mesh,1,p_map_main_mountain
Map_Main_Mountain_9_4,8628,False,mesh,1,p_map_main_mountain
Map_Main_demo_Audience02,8892,False,mesh,1,p_map_main_fightingarena
Map_Main_demo_Light,3748,False,mesh,1,p_map_main_fightingarena
Map_Main_demo_Light03,2868,False,mesh,1,p_map_main_fightingarena
Map_Main_demo_Light04,4076,False,mesh,1,p_map_main_fightingarena
Metal,1143528,False,mesh,1,p_map_main_chinatown
Metal,496840,False,mesh,1,p_map_main_bar
Millet,28620,False,mesh,1,p_map_main_japaninterface
Muji,115448,False,mesh,3,p_map_main_cliff,p_map_main_courtyard,p_map_main_ninjia
Object001,32519,False,mesh,1,p_map_main_mountain
Object003,17844,False,mesh,3,kaidong_01,star_xiang_01,xiang1
Object007,123563,False,mesh,1,q_rose_2
Object01,1956,False,mesh,1,p_map_main_pool
Object01,5580,False,mesh,1,p_map_main_dwa
Object013,81695,False,mesh,5,guanxiang_01,kaidong_02,star_xiang_02,star_xiang_03,xiang2
Object014,25956,False,mesh,5,guanxiang_01,kaidong_02,star_xiang_02,star_xiang_03,xiang2
Object014,142292,False,mesh,1,p_map_main_pool
Object016,26340,False,mesh,2,kaidong_03,xiang3
Object017,30527,False,mesh,2,kaidong_03,xiang3
Object02,1956,False,mesh,1,p_map_main_pool
Object02,5580,False,mesh,1,p_map_main_dwa
Object03,134276,False,mesh,1,p_map_main_pool
Object04,18540,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
Object05,15052,False,mesh,1,p_map_main_conference
Object06,4052,False,mesh,1,p_map_main_fightingarena
Object07,11036,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
Object08,18540,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
