资源名称,宽度 Width,高度 Height,格式 Format,MipMap功能,Read/Write,内存占用,冗余数量,相应的AB文件
1024x1024,1024,1024,ETC2_RGBA8,False,False,1048576,1,1024x1024
1024x1024,1024,1024,ETC2_RGBA8,False,False,1048576,1,1024x1024
1024x1024,1024,1024,ETC2_RGBA8,False,False,1048576,1,1024x1024
1024x1024,1024,1024,ETC2_RGBA8,False,False,1048576,1,1024x1024
1024x1024,1024,1024,ETC2_RGBA8,False,False,1048576,1,1024x1024
144x144,144,144,ETC2_RGBA8,False,False,20736,1,144x144
144x144,144,144,ETC2_RGBA8,False,False,20736,1,144x144
144x144,144,144,ETC2_RGBA8,False,False,20736,1,144x144
144x144,144,144,ETC2_RGBA8,False,False,20736,1,144x144
144x144,144,144,ETC2_RGBA8,False,False,20736,1,144x144
2048_frame_gamestart,512,512,ETC2_RGBA8,False,False,262144,1,2048_frame_gamestart
2048_frame_green,196,200,ETC2_RGBA8,False,False,39200,1,2048_frame_green
36x36,36,36,ETC2_RGBA8,False,False,1296,1,36x36
36x36,36,36,ETC2_RGBA8,False,False,1296,1,36x36
36x36,36,36,ETC2_RGBA8,False,False,1296,1,36x36
36x36,36,36,ETC2_RGBA8,False,False,1296,1,36x36
36x36,36,36,ETC2_RGBA8,False,False,1296,1,36x36
452520_00000,512,256,ETC2_RGBA8,False,False,131072,1,uifunctiontrailerprefab_new
48x48,48,48,ETC2_RGBA8,False,False,2304,1,48x48
48x48,48,48,ETC2_RGBA8,False,False,2304,1,48x48
48x48,48,48,ETC2_RGBA8,False,False,2304,1,48x48
48x48,48,48,ETC2_RGBA8,False,False,2304,1,48x48
48x48,48,48,ETC2_RGBA8,False,False,2304,1,48x48
512x512,512,512,ETC2_RGBA8,False,False,262144,1,512x512
512x512,512,512,ETC2_RGBA8,False,False,262144,1,512x512
512x512,512,512,ETC2_RGBA8,False,False,262144,1,512x512
512x512,512,512,ETC2_RGBA8,False,False,262144,1,512x512
512x512,512,512,ETC2_RGBA8,False,False,262144,1,512x512
72x72,72,72,ETC2_RGBA8,False,False,5184,1,72x72
72x72,72,72,ETC2_RGBA8,False,False,5184,1,72x72
72x72,72,72,ETC2_RGBA8,False,False,5184,1,72x72
72x72,72,72,ETC2_RGBA8,False,False,5184,1,72x72
72x72,72,72,ETC2_RGBA8,False,False,5184,1,72x72
96x96,96,96,ETC2_RGBA8,False,False,9216,1,96x96
96x96,96,96,ETC2_RGBA8,False,False,9216,1,96x96
96x96,96,96,ETC2_RGBA8,False,False,9216,1,96x96
96x96,96,96,ETC2_RGBA8,False,False,9216,1,96x96
96x96,96,96,ETC2_RGBA8,False,False,9216,1,96x96
ArenaAward_blue,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_blue
ArenaAward_gray,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_gray
ArenaAward_green,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_green
ArenaAward_porple,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_porple
ArenaAward_red,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_red
ArenaAward_yellow,268,428,ETC2_RGBA8,False,False,114704,1,arenaaward_yellow
Background,32,32,ARGB32,True,False,5460,2,ui2048gameprefab,uidwaprefab
CP_num_00,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_01,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_02,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_03,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_04,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_05,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_06,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_07,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_08,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
CP_num_09,64,100,ETC2_RGBA8,False,False,6400,1,uitexture_championpunch
ChampionPunch01,298,165,ARGB32,False,False,196680,1,uitexture_championpunch
ChampionPunch02,355,112,ARGB32,False,False,159040,1,uitexture_championpunch
ChampionPunch03,33,384,ARGB32,False,False,50688,1,uitexture_championpunch
ChampionPunch04,33,384,ARGB32,False,False,50688,1,uitexture_championpunch
ChampionPunch05,106,106,ARGB32,False,False,44944,1,uitexture_championpunch
ChampionPunch07,423,2,ARGB32,False,False,3384,1,uitexture_championpunch
ChampionPunch08,365,86,ARGB32,False,False,125560,1,uitexture_championpunch
ChampionPunch09,370,85,ARGB32,False,False,125800,1,uitexture_championpunch
ChampionPunch10,122,64,ARGB32,False,False,31232,1,uitexture_championpunch
ChampionPunch11,110,89,ARGB32,False,False,39160,1,uitexture_championpunch
CompetitiveGame01,512,256,ETC_RGB4,False,False,65536,1,competitivegame01
DIFFUSE,1024,1024,ETC2_RGBA8,True,False,1398128,1,p_map_main_dartactivities
DLC_Ayane_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_ayane_goods_01
DLC_Bayman_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_bayman_goods_01
DLC_Hayabusa_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_hayabusa_goods_01
DLC_Hayate_goods_01,100,100,RGBA32,False,False,40000,1,dlc_hayate_goods_01
DLC_Helenadouglas_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_helenadouglas_goods_01
DLC_Honoka_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_honoka_goods_01
DLC_Kasumi_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_kasumi_goods_01
DLC_Kokoro_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_kokoro_goods_01
DLC_Kokoro_goods_02,100,100,ETC2_RGBA8,False,False,10000,1,dlc_kokoro_goods_02
DLC_Leifang_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_leifang_goods_01
DLC_MarieRose_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_marierose_goods_01
DLC_Mariposa_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_mariposa_goods_01
DLC_Momiji_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_momiji_goods_01
DLC_Nyotengu_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_nyotengu_goods_01
DLC_Raidou_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_raidou_goods_01
DLC_Rig_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_rig_goods_01
DLC_Tina_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_tina_goods_01
DLC_Zack_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_zack_goods_01
DLC_janLee_goods_01,100,100,ETC2_RGBA8,False,False,10000,1,dlc_janlee_goods_01
DLC_mila_goods_01,100,100,RGBA32,False,False,40000,1,dlc_mila_goods_01
DemonstrationPlot01,1024,512,ETC_RGB4,False,False,262144,1,demonstrationplot01
DemonstrationPlot02,1024,512,ETC_RGB4,False,False,262144,1,demonstrationplot02
DemonstrationPlot03,1024,512,ETC_RGB4,False,False,262144,1,demonstrationplot03
DemonstrationPlot04,1024,512,ETC_RGB4,False,False,262144,1,demonstrationplot04
DemonstrationPlot05,1024,512,ETC_RGB4,False,False,262144,1,demonstrationplot05
Flare50mm,256,512,ETC_RGB4,True,False,87400,6,p_map_main_cabin,p_map_main_chaptertwo_temple,p_map_main_conference,p_map_main_pool,p_map_main_ship,p_map_main_wharf
Font Texture,0,0,Alpha8,False,False,0,1,font
